Name,Alkoholisch,Farbe
Abbots Bitter,1,Null
Abricotine,1,Null
Absinth,1,Null
Abtei,1,Null
Aguardente de cana,1,Null
Ale Bier,1,Null
Alkohol warm,1,Null
Allasch,1,Null
Almond Cream,1,Null
Aloja Algarrogina,1,Null
Altvater,1,Null
Amaretto,1,Null
Amaro,1,Null
Amarosa,1,Null
Amarula Cream,1,Null
Amazona Mangolikör,1,Null
Ambassadeur,1,Null
Amer Picon,1,Null
Ananaslikör,1,Null
Angostura Bitter,1,Null
Anis del Oso,1,Null
Anisette,1,Null
Aperital,1,Null
Aperol,1,Null
Apfelkorn,1,Null
Apfellikör,1,Null
Apfelschnaps,1,Null
Apfelwein,1,Null
Appenzeller Alpenbitter,1,Null
Apple Brandy,1,Null
Applejack,1,Null
Apricot Bitter,1,Null
Apricot Brandy,1,Null
Aprikosen Likör,1,Null
Aprikosengeist,1,Null
Apry,1,Null
Aquavit,1,Null
Armagnac,1,Null
Arrack Punch,1,Null
Arrak,1,Null
Asbach Uralt,1,Null
Askalon,1,Null
Asti Spumante,1,Null
Aurum,1,Null
Averna Amaro,1,Null
Baileys,1,Null
Banana Brandy,1,Null
Bananavit,1,Null
Bananenlikör,1,Null
Barack Liqueur,1,Null
Barack Palinka,1,Null
Bardinet,1,Null
Batida de Coco,1,Null
Becherovka,1,Null
Beeren-Genever,1,Null
Benediktb.Klostergold,1,Null
Berentzen Likör,1,Null
Berro,1,Null
Bianco Carpano,1,Null
Bier,1,Null
Birnengeist,1,Null
Birnenlikör,1,Null
Bitters,1,Null
Blackberry Brandy,1,Null
Blutorangenlikör,1,Null
Bolsberry,1,Null
Bolsbitter,1,Null
Bommerlunder,1,Null
Boonekamp Bitter,1,Null
Bordeauxpunsch,1,Null
Borghetti,1,Null
Brandy,1,Null
Branntwein,1,Null
Brombeer Likör,1,Null
Brombeergeist,1,Null
Burgunderpunsch,1,Null
Butterscotch,1,Null
Buttershot,1,Null
Byrrh,1,Null
Bärenjäger,1,Null
Bärwurz,1,Null
Bénédictine,1,Null
Cacao mit Nuß,1,Null
Cachaça,1,Null
Calisay Bitter,1,Null
Caloric Punch,1,Null
Calvados,1,Null
Campari Bitter,1,Null
Campari Cordial,1,Null
Caperitif,1,Null
Capuccino Cream,1,Null
Capuziner Coffee Likör,1,Null
Carpano,1,Null
Chamberry Fraise,1,Null
Chambyrzette,1,Null
Champagner,1,Null
Charleston Follies,1,Null
Chartreuse,1,Null
Cherry Brandy,1,Null
Cherry Cheri Suisse,1,Null
Cherry Cordial,1,Null
Cherry Kijafa,1,Null
Cherry Marnier,1,Null
Cherry Whisky,1,Null
Chestnut Liquer,1,Null
China,1,Null
China Elixir,1,Null
China Martini,1,Null
Chocolate Liqueur,1,Null
Chocolate Mint,1,Null
Christmaspunch Basis,1,Null
Cidre,1,Null
Cinzano Limetto,1,Null
Cinzano-Bitter,1,Null
Citrus Rum,1,Null
Clairin,1,Null
Cochineal,1,Null
Coco Ribe,1,Null
Coco Tara,1,Null
Coconut,1,Null
Coconut Cream,1,Null
Coconut Creole,1,Null
Cocoslikör,1,Null
Coffee Cream,1,Null
Coffee Likör,1,Null
Coffee Liqueur,1,Null
Cognac,1,Null
Cointreau,1,Null
Cointreau Apricot,1,Null
Cordial Médoc,1,Null
Cordial-Stroh,1,Null
Creme de Mure,1,Null
Crème dOrange,1,Null
Crème d`Ananas,1,Null
Crème de Bananes,1,Null
Crème de Cacao,1,Null
Crème de Cassis,1,Null
Crème de Curaçao,1,Null
Crème de Framboise,1,Null
Crème de Mandarine,1,Null
Crème de Menthe,1,Null
Crème de Mocca,1,Null
Crème de Noisettes,1,Null
Crème de Noyeaux,1,Null
Crème de Pêche,1,Null
Crème de Roses,1,Null
Crème de Vanille,1,Null
"Crème de Vanille, rot",1,Null
Crème de Violette,1,Null
Crème de Yvette,1,Null
Crème of Coffee,1,Null
Crème of half &amp; half,1,Null
Cuarenta y Tres,1,Null
Curaçao,1,Null
Cynar,1,Null
Danziger Goldwasser,1,Null
Dash Angostura Bitter,1,Null
Dooleys,1,Null
Doornkaat,1,Null
Doppelkorn,1,Null
Drambuie,1,Null
Dubonnet,1,Null
Duchalet Likör,1,Null
Dunkles Bier,1,Null
Early Times,1,Null
East Indian Punch,1,Null
Eau de Malisse,1,Null
Eau de vie de Fraise,1,Null
Eau de vie de Marc,1,Null
Eau de vie herbes,1,Null
Egg-Nogg,1,Null
Eier-Kirsch Likör,1,Null
Eierlikör,1,Null
Engl. Punschessenz,1,Null
Enzian,1,Null
Enzianlikör,1,Null
Erdbeerlikör,1,Null
Escorial,1,Null
Falernum,1,Null
Feige-Vodka,1,Null
Fernet Branca,1,Null
Fernet Mentha,1,Null
Fior di Mandarino,1,Null
Forbidden Fruit Likör,1,Null
"Fragoli, Erdbeerlikör",1,Null
Fraise des Bois,1,Null
Fraisia,1,Null
Framboise Brandy,1,Null
Frangelico,1,Null
Fromboise Liqueuer,1,Null
Fruchtlikör,1,Null
Fruchtschaumwein,1,Null
Fundador,1,Null
Galliano,1,Null
Gammel Dansk Aalborg,1,Null
Genever,1,Null
Gin,1,Null
Ginger Beer,1,Null
Ginger Brandy Likör,1,Null
Ginger Liqueur,1,Null
Ginger Wein green,1,Null
Ginseng Brandy,1,Null
Gipsy Melon,1,Null
Glayva Honigwhisky,1,Null
Godet,1,Null
Gold,1,Null
Gold Liqueur,1,Null
Gold Strike,1,Null
Goldkirsch,1,Null
Goldschlager,1,Null
Grand Marnier,1,Null
Grand Marnier Creme,1,Null
Grappa,1,Null
Grappa-Aprikose,1,Null
Griotte,1,Null
Guaranalikör,1,Null
Guinness Bier,1,Null
Half &amp; Half,1,Null
Harakiri,1,Null
Harmonie-Cocktail,1,Null
Haselnußlikör,1,Null
Hawaii Orangen Punch,1,Null
Hawaiian Punch,1,Null
Heidelbeerlikör,1,Null
Heidelbeerschnaps,1,Null
Helles Export Bier,1,Null
Herbsaint,1,Null
Hercules,1,Null
Himbeer Likör,1,Null
Himbeergeist,1,Null
Honig Liqueur,1,Null
Hostetters Bitter,1,Null
Huaco,1,Null
Ingwerbier,1,Null
Ingwerlikör,1,Null
Irish Mist Likör,1,Null
Istra-Bitter Brandy,1,Null
Ixtabentun Anislikör,1,Null
Izarra,1,Null
Jagertee,1,Null
Jamaica-Rum,1,Null
Jambosala,1,Null
Jarzebinka,1,Null
Johannisbeere dry,1,Null
Jägermeister,1,Null
Kaffee Likör,1,Null
Kaffeelikör,1,Null
Kahlua,1,Null
Kaiserbirn,1,Null
Kakao-Nuß-Likör,1,Null
Kamasutra,1,Null
Karamellikör,1,Null
Karawankenperle,1,Null
Karl der Große,1,Null
Kartoffelschnaps,1,Null
Kirsberry,1,Null
Kirsch,1,Null
Kirschlikör,1,Null
Kirschrum,1,Null
Kirschwasser,1,Null
Kiwilikör,1,Null
Kokusnuß-Rum-Likör,1,Null
Kokusnußlikör,1,Null
Kombucha,1,Null
Kontiki Alcotropic,1,Null
Korn,1,Null
Krimsekt,1,Null
Kroatzbeere Echte,1,Null
Kräuterlikör,1,Null
Kumquat Likör,1,Null
Kunigund,1,Null
Kwai Feh,1,Null
Känguruh Maracujalik,1,Null
Kümmellikör,1,Null
Lemoncello,1,Null
Licor 43,1,Null
